round,accuracy
1,5.48
2,8.38
3,11.09
4,12.93
5,14.42
6,15.33
7,15.74
8,16.46
9,17.31
10,17.24
11,17.27
12,17.9
13,17.88
14,17.87
15,18.22
16,18.11
17,18.36
18,18.46
19,18.35
20,18.47
21,18.68
22,18.65
23,18.47
24,18.62
25,18.58
26,18.57
27,18.59
28,18.49
29,18.71
30,18.65
31,18.45
32,18.6
33,18.54
34,18.81
35,18.66
36,18.68
37,18.69
38,18.52
39,18.47
40,18.49
41,18.39
42,18.48
43,18.38
44,18.45
45,18.33
46,18.35
47,18.5
48,18.18
49,18.4
50,18.18
51,18.27
52,18.23
53,18.57
54,18.23
55,18.39
56,18.33
57,18.22
58,18.31
59,18.59
60,18.38
61,18.52
62,18.39
63,18.21
64,18.53
65,18.53
66,18.0
67,18.28
68,18.35
69,18.23
70,18.39
71,18.2
72,18.27
73,18.6
74,18.46
75,18.41
76,18.69
77,18.28
78,18.09
79,18.02
80,18.26
81,17.93
82,18.36
83,17.96
84,18.18
85,17.73
86,18.19
87,18.01
88,17.8
89,17.96
90,18.04
91,18.14
92,17.91
93,17.81
94,17.78
95,17.96
96,18.05
97,18.09
98,17.84
99,17.53
100,17.99
