round,accuracy
1,1.69
2,4.58
3,10.19
4,15.08
5,19.11
6,21.54
7,23.61
8,25.38
9,26.49
10,27.88
11,27.8
12,29.26
13,29.59
14,30.1
15,30.52
16,30.35
17,30.38
18,30.76
19,31.41
20,31.37
21,31.52
22,31.38
23,31.98
24,32.29
25,31.96
26,32.18
27,32.16
28,32.89
29,32.46
30,32.37
31,32.79
32,32.75
33,32.63
34,32.64
35,32.67
36,32.96
37,32.58
38,32.93
39,33.06
40,33.04
41,32.86
42,32.98
43,32.61
44,33.14
45,33.05
46,33.14
47,32.82
48,32.93
49,33.02
50,33.16
51,33.17
52,33.17
53,33.17
54,33.2
55,33.39
56,33.33
57,33.57
58,33.21
59,33.33
60,33.25
61,33.54
62,33.47
63,33.38
64,33.48
65,33.45
66,33.46
67,33.39
68,33.32
69,33.28
70,33.14
71,33.36
72,33.23
73,33.3
74,33.06
75,33.18
76,33.15
77,33.42
78,33.38
79,33.4
80,33.27
81,33.29
82,33.47
83,33.27
84,33.31
85,33.34
86,33.12
87,33.3
88,33.45
89,33.32
90,33.56
91,33.36
92,33.45
93,33.58
94,33.48
95,33.35
96,33.43
97,33.49
98,33.4
99,33.38
100,33.37
