round,accuracy
1,30.37
2,35.63
3,39.19
4,41.21
5,42.33
6,44.02
7,45.77
8,47.34
9,48.44
10,49.63
11,50.67
12,51.6
13,52.83
14,52.83
15,53.58
16,54.37
17,55.0
18,54.98
19,55.3
20,55.71
21,55.86
22,56.23
23,56.19
24,56.82
25,57.03
26,56.94
27,57.28
28,57.25
29,57.51
30,58.01
31,57.72
32,58.16
33,57.76
34,58.27
35,58.14
36,58.29
37,58.72
38,58.87
39,58.36
40,58.95
41,58.91
42,58.61
43,58.7
44,58.54
45,58.46
46,58.72
47,58.88
48,58.98
49,58.7
50,58.75
51,58.8
52,59.08
53,59.0
54,59.01
55,58.75
56,59.01
57,58.82
58,58.96
59,59.07
60,58.94
61,58.92
62,59.0
63,58.93
64,58.78
65,58.95
66,59.19
67,58.98
68,59.13
69,58.79
70,58.68
71,59.07
72,58.71
73,58.85
74,58.91
75,58.88
76,58.55
77,58.87
78,58.96
79,59.1
80,58.99
81,58.74
82,58.79
83,58.58
84,59.05
85,58.76
86,58.96
87,59.04
88,58.59
89,58.59
90,58.7
91,58.57
92,58.37
93,58.6
94,58.58
95,58.78
96,58.41
97,58.48
98,58.37
99,58.27
100,58.47
