round,accuracy
1,38.64
2,39.51
3,39.8
4,39.87
5,39.92
6,39.83
7,40.08
8,39.76
9,41.07
10,40.04
11,39.99
12,39.68
13,39.75
14,40.37
15,39.79
16,39.6
17,39.11
18,38.92
19,39.73
20,39.2
21,39.83
22,40.41
23,39.0
24,40.2
25,39.18
26,40.0
27,38.65
28,39.81
29,39.8
30,39.29
31,39.53
32,38.98
33,39.48
34,39.7
35,39.69
36,39.73
37,39.04
38,39.58
39,39.55
40,39.86
41,39.84
42,39.79
43,39.9
44,40.04
45,39.49
46,39.82
47,39.18
48,39.02
49,38.82
50,39.06
51,39.3
52,39.28
53,39.33
54,38.01
55,39.6
56,39.92
57,39.18
58,38.79
59,38.93
60,39.25
61,38.81
62,40.21
63,38.89
64,39.06
65,39.42
66,39.51
67,39.33
68,39.16
69,39.72
70,39.64
71,39.46
72,38.16
73,38.45
74,39.48
75,39.46
76,39.45
77,38.55
78,38.88
79,39.58
80,38.87
81,39.03
82,38.56
83,39.03
84,38.04
85,39.47
86,39.51
87,39.1
88,38.34
89,38.26
90,38.82
91,39.03
92,38.58
93,38.61
94,39.07
95,39.75
96,38.96
97,37.37
98,39.5
99,39.24
100,38.8
