round,accuracy
1,89.77
2,92.84
3,94.68
4,95.57
5,96.43
6,96.68
7,97.21
8,97.53
9,97.56
10,97.72
11,97.81
12,98.06
13,98.0
14,98.12
15,98.22
16,98.3
17,98.35
18,98.43
19,98.41
20,98.47
21,98.47
22,98.54
23,98.57
24,98.59
25,98.67
26,98.67
27,98.61
28,98.65
29,98.69
30,98.67
31,98.76
32,98.72
33,98.73
34,98.82
35,98.81
36,98.85
37,98.82
38,98.8
39,98.79
40,98.84
41,98.84
42,98.85
43,98.88
44,98.86
45,98.87
46,98.93
47,98.93
48,98.87
49,98.88
50,98.86
51,98.91
52,98.9
53,98.94
54,98.94
55,98.96
56,98.93
57,98.92
58,98.91
59,98.95
60,98.99
61,98.89
62,98.91
63,98.97
64,98.9
65,98.9
66,99.04
67,98.94
68,98.94
69,98.99
70,98.99
71,98.94
72,98.95
73,98.95
74,98.99
75,98.97
76,98.97
77,98.96
78,99.02
79,99.01
80,98.94
81,98.99
82,98.99
83,98.94
84,98.92
85,98.92
86,98.99
87,98.94
88,99.01
89,98.95
90,98.95
91,98.98
92,98.92
93,98.95
94,98.96
95,98.98
96,98.99
97,98.98
98,98.93
99,99.0
100,98.97
