round,accuracy
1,91.92
2,93.83
3,94.79
4,95.51
5,95.9
6,96.26
7,96.48
8,96.72
9,96.92
10,97.07
11,97.16
12,97.22
13,97.28
14,97.35
15,97.51
16,97.46
17,97.56
18,97.6
19,97.59
20,97.65
21,97.73
22,97.57
23,97.67
24,97.71
25,97.74
26,97.58
27,97.74
28,97.68
29,97.82
30,97.88
31,97.7
32,97.74
33,97.82
34,97.8
35,97.8
36,97.78
37,97.79
38,97.85
39,97.81
40,97.87
41,97.88
42,97.84
43,97.81
44,97.81
45,97.82
46,97.77
47,97.78
48,97.77
49,97.83
50,97.73
51,97.78
52,97.8
53,97.81
54,97.79
55,97.88
56,97.86
57,97.83
58,97.83
59,97.83
60,97.86
61,97.83
62,97.8
63,97.82
64,97.82
65,97.86
66,97.86
67,97.8
68,97.82
69,97.82
70,97.8
71,97.82
72,97.78
73,97.81
74,97.82
75,97.83
76,97.84
77,97.83
78,97.79
79,97.83
80,97.81
81,97.84
82,97.81
83,97.8
84,97.81
85,97.78
86,97.81
87,97.78
88,97.79
89,97.82
90,97.8
91,97.78
92,97.84
93,97.78
94,97.82
95,97.82
96,97.81
97,97.83
98,97.82
99,97.81
100,97.84
