round,accuracy
1,14.05
2,93.82
3,98.5
4,98.86
5,99.09
6,99.18
7,99.26
8,99.39
9,99.4
10,99.41
11,99.41
12,99.43
13,99.46
14,99.48
15,99.46
16,99.48
17,99.53
18,99.52
19,99.54
20,99.56
21,99.57
22,99.59
23,99.57
24,99.48
25,99.61
26,99.58
27,99.55
28,99.58
29,99.58
30,99.58
31,99.62
32,99.53
33,99.57
34,99.56
35,99.54
36,99.61
37,99.57
38,99.65
39,99.62
40,99.57
41,99.61
42,99.6
43,99.6
44,99.61
45,99.58
46,99.6
47,99.61
48,99.61
49,99.59
50,99.61
51,99.6
52,99.63
53,99.65
54,99.61
55,99.63
56,99.65
57,99.65
58,99.65
59,99.63
60,99.62
61,99.62
62,99.62
63,99.64
64,99.63
65,99.65
66,99.64
67,99.62
68,99.61
69,99.6
70,99.61
71,99.62
72,99.61
73,99.61
74,99.61
75,99.61
76,99.6
77,99.6
78,99.6
79,99.61
80,99.64
81,99.59
82,99.62
83,99.62
84,99.59
85,99.6
86,99.61
87,99.63
88,99.62
89,99.65
90,99.61
91,99.61
92,99.62
93,99.59
94,99.6
95,99.62
96,99.63
97,99.62
98,99.61
99,99.6
100,99.61
