round,accuracy
1,91.31
2,91.63
3,91.92
4,91.95
5,91.82
6,92.12
7,92.24
8,92.12
9,92.12
10,92.3
11,92.21
12,92.1
13,92.4
14,92.18
15,92.24
16,92.45
17,92.53
18,92.5
19,92.59
20,92.48
21,92.45
22,92.55
23,92.4
24,92.58
25,92.36
26,92.46
27,92.5
28,92.62
29,92.59
30,92.56
31,92.53
32,92.56
33,92.6
34,92.67
35,92.65
36,92.4
37,92.44
38,92.53
39,92.66
40,92.65
41,92.51
42,92.65
43,92.49
44,92.44
45,92.45
46,92.55
47,92.6
48,92.5
49,92.41
50,92.55
51,92.5
52,92.61
53,92.56
54,92.38
55,92.64
56,92.65
57,92.58
58,92.5
59,92.35
60,92.45
61,92.45
62,92.29
63,92.57
64,92.56
65,92.5
66,92.57
67,92.55
68,92.54
69,92.42
70,92.54
71,92.63
72,92.41
73,92.53
74,92.25
75,92.65
76,92.73
77,92.49
78,92.42
79,92.53
80,92.41
81,92.37
82,92.48
83,92.57
84,92.53
85,92.56
86,92.48
87,92.61
88,92.5
89,92.59
90,92.55
91,92.7
92,92.52
93,92.54
94,92.45
95,92.52
96,92.4
97,92.75
98,92.61
99,92.52
100,92.63
