round,accuracy
1,1.81
2,2.92
3,3.15
4,4.29
5,5.13
6,5.88
7,6.48
8,7.36
9,7.39
10,7.72
11,8.03
12,8.49
13,8.89
14,9.25
15,9.35
16,10.08
17,10.28
18,10.09
19,10.73
20,10.39
21,10.96
22,10.14
23,10.78
24,10.21
25,10.85
26,11.04
27,11.53
28,11.76
29,12.05
30,11.92
31,12.67
32,12.06
33,12.89
34,12.75
35,13.38
36,13.15
37,13.81
38,12.92
39,13.61
40,13.38
41,14.49
42,13.63
43,14.69
44,14.37
45,14.85
46,14.63
47,15.05
48,14.29
49,14.88
50,14.63
51,15.02
52,15.09
53,15.29
54,14.94
55,15.62
56,15.65
57,15.29
58,15.73
59,15.27
60,15.97
61,15.5
62,15.68
63,15.6
64,16.47
65,15.62
66,16.16
67,15.84
68,16.43
69,15.76
70,16.61
71,15.75
72,16.84
73,16.05
74,16.49
75,15.47
76,16.57
77,15.75
78,16.57
79,16.16
80,17.02
81,16.49
82,17.01
83,16.82
84,17.27
85,16.86
86,17.34
87,16.91
88,17.41
89,16.8
90,17.47
91,16.43
92,17.17
93,16.6
94,17.56
95,16.9
96,17.57
97,16.71
98,17.39
99,17.17
100,17.83
