round,accuracy
1,11.8
2,12.49
3,13.38
4,13.39
5,13.28
6,13.46
7,13.27
8,12.96
9,13.34
10,13.22
11,13.42
12,13.16
13,12.95
14,12.78
15,13.2
16,12.73
17,13.17
18,12.86
19,12.72
20,12.95
21,13.0
22,12.85
23,12.79
24,12.79
25,12.49
26,12.6
27,12.75
28,12.38
29,12.66
30,12.73
31,12.45
32,12.33
33,12.48
34,12.53
35,12.6
36,12.32
37,12.57
38,12.59
39,12.48
40,12.34
41,12.45
42,12.53
43,12.12
44,12.23
45,12.01
46,12.37
47,12.03
48,12.18
49,12.18
50,12.41
51,12.16
52,12.2
53,12.27
54,12.4
55,12.35
56,12.54
57,11.95
58,12.37
59,12.2
60,12.31
61,12.18
62,12.06
63,12.05
64,12.1
65,12.19
66,12.25
67,12.12
68,12.16
69,12.24
70,12.1
71,12.44
72,11.86
73,12.24
74,11.84
75,12.27
76,12.15
77,12.14
78,11.99
79,11.9
80,11.9
81,11.69
82,12.0
83,11.85
84,12.05
85,11.65
86,11.89
87,11.63
88,11.77
89,11.76
90,11.9
91,11.98
92,11.8
93,11.78
94,11.7
95,11.65
96,11.71
97,11.78
98,11.8
99,11.84
100,11.83
