round,accuracy
1,33.6
2,37.24
3,39.78
4,41.57
5,42.07
6,43.03
7,43.43
8,43.8
9,44.25
10,44.08
11,44.68
12,44.49
13,43.84
14,44.16
15,44.19
16,44.09
17,44.33
18,43.93
19,44.13
20,43.95
21,43.96
22,44.06
23,43.87
24,43.65
25,43.71
26,43.91
27,43.99
28,44.24
29,43.71
30,43.82
31,43.82
32,43.59
33,43.88
34,44.64
35,43.73
36,44.07
37,43.83
38,44.33
39,43.71
40,43.6
41,43.99
42,44.08
43,43.82
44,44.02
45,44.11
46,43.75
47,44.28
48,44.05
49,43.4
50,43.82
51,43.68
52,43.85
53,43.88
54,44.0
55,43.83
56,43.47
57,43.52
58,43.71
59,43.97
60,44.04
61,43.85
62,44.27
63,43.85
64,43.61
65,43.94
66,43.78
67,43.8
68,43.82
69,44.06
70,44.51
71,43.62
72,43.86
73,43.65
74,43.75
75,44.05
76,43.74
77,44.13
78,43.79
79,43.6
80,43.93
81,43.88
82,43.69
83,43.65
84,43.59
85,43.92
86,43.55
87,44.05
88,43.53
89,43.79
90,43.93
91,43.93
92,43.42
93,44.32
94,43.91
95,43.68
96,43.68
97,43.71
98,43.95
99,43.78
100,43.66
