round,accuracy
1,10.9
2,22.55
3,22.23
4,25.45
5,32.45
6,36.02
7,36.18
8,39.71
9,38.78
10,36.83
11,37.38
12,39.69
13,41.8
14,38.54
15,41.87
16,40.28
17,40.57
18,34.21
19,39.91
20,38.99
21,45.86
22,39.76
23,38.64
24,44.24
25,47.74
26,39.7
27,51.63
28,44.79
29,38.15
30,49.33
31,29.15
32,40.89
33,44.58
34,44.83
35,53.61
36,48.21
37,53.43
38,50.35
39,48.4
40,52.01
41,51.79
42,50.82
43,50.96
44,50.44
45,50.5
46,48.92
47,48.54
48,46.84
49,49.28
50,46.96
51,45.38
52,45.65
53,44.4
54,44.49
55,43.89
56,45.64
57,44.43
58,42.83
59,42.05
60,41.8
61,40.79
62,41.92
63,40.94
64,40.78
65,39.59
66,40.07
67,38.41
68,38.31
69,38.74
70,38.88
71,36.67
72,37.1
73,37.21
74,38.75
75,37.75
76,37.0
77,37.12
78,37.64
79,36.89
80,37.32
81,37.72
82,36.37
83,36.52
84,35.33
85,36.03
86,36.54
87,36.68
88,35.15
89,35.72
90,34.72
91,34.97
92,35.69
93,34.18
94,34.9
95,35.88
96,35.5
97,34.64
98,33.64
99,33.34
100,34.33
