round,accuracy
1,13.39
2,28.69
3,52.85
4,58.47
5,62.44
6,63.73
7,67.86
8,66.83
9,67.59
10,61.83
11,45.97
12,42.96
13,36.39
14,59.65
15,70.57
16,73.73
17,74.08
18,76.96
19,73.21
20,75.11
21,68.39
22,72.84
23,71.4
24,75.24
25,73.91
26,76.92
27,74.61
28,79.68
29,77.89
30,82.08
31,80.1
32,82.71
33,77.64
34,78.22
35,74.04
36,77.18
37,78.08
38,81.34
39,84.15
40,86.19
41,87.2
42,87.23
43,86.57
44,87.15
45,87.64
46,87.67
47,87.27
48,87.25
49,87.67
50,85.4
51,84.72
52,82.27
53,79.49
54,79.28
55,78.4
56,81.57
57,81.06
58,83.7
59,84.17
60,85.3
61,83.38
62,84.8
63,84.62
64,86.67
65,88.05
66,88.28
67,89.27
68,88.76
69,90.16
70,88.34
71,90.38
72,89.51
73,90.09
74,89.14
75,89.41
76,89.19
77,90.46
78,90.32
79,89.6
80,88.75
81,89.52
82,88.8
83,88.04
84,89.54
85,88.52
86,89.99
87,90.61
88,90.67
89,91.61
90,90.86
91,90.25
92,88.87
93,88.84
94,87.03
95,86.06
96,86.33
97,89.24
98,89.93
99,90.7
100,89.23
