round,accuracy
1,77.96
2,88.18
3,90.29
4,91.04
5,91.97
6,92.73
7,93.22
8,93.47
9,93.72
10,93.88
11,94.13
12,94.36
13,94.61
14,94.6
15,94.88
16,94.95
17,95.03
18,95.14
19,95.33
20,95.3
21,95.42
22,95.5
23,95.55
24,95.55
25,95.73
26,95.66
27,95.68
28,95.75
29,95.67
30,95.72
31,95.78
32,95.91
33,95.95
34,96.06
35,95.96
36,96.1
37,96.03
38,95.99
39,96.1
40,96.12
41,96.1
42,95.93
43,96.07
44,96.21
45,96.29
46,96.27
47,96.22
48,96.16
49,96.29
50,96.3
51,96.32
52,96.35
53,96.32
54,96.32
55,96.41
56,96.4
57,96.35
58,96.39
59,96.4
60,96.48
61,96.48
62,96.45
63,96.52
64,96.5
65,96.45
66,96.49
67,96.49
68,96.45
69,96.53
70,96.52
71,96.58
72,96.55
73,96.59
74,96.56
75,96.59
76,96.58
77,96.61
78,96.67
79,96.58
80,96.61
81,96.62
82,96.7
83,96.7
84,96.69
85,96.72
86,96.7
87,96.72
88,96.68
89,96.58
90,96.69
91,96.7
92,96.78
93,96.73
94,96.78
95,96.78
96,96.84
97,96.84
98,96.88
99,96.83
100,96.82
