round,accuracy
1,47.1
2,97.12
3,98.63
4,98.84
5,98.99
6,98.98
7,98.99
8,99.04
9,98.95
10,98.95
11,98.93
12,98.99
13,98.96
14,98.97
15,98.98
16,99.0
17,98.96
18,98.93
19,98.98
20,98.94
21,98.96
22,98.97
23,98.95
24,98.97
25,98.94
26,98.97
27,98.96
28,98.98
29,98.99
30,98.96
31,98.95
32,98.98
33,98.95
34,98.96
35,98.99
36,98.96
37,98.94
38,98.99
39,98.97
40,98.97
41,98.94
42,98.98
43,99.0
44,99.0
45,99.0
46,99.0
47,98.96
48,98.96
49,99.0
50,98.94
51,98.98
52,99.0
53,98.99
54,98.96
55,99.01
56,99.0
57,98.98
58,99.01
59,99.03
60,98.98
61,98.99
62,98.98
63,98.98
64,99.01
65,98.99
66,98.98
67,98.97
68,98.94
69,98.98
70,98.99
71,98.97
72,98.96
73,98.97
74,99.01
75,98.94
76,98.96
77,98.95
78,98.96
79,98.99
80,99.0
81,98.98
82,98.97
83,98.98
84,98.99
85,98.95
86,98.96
87,98.97
88,99.0
89,98.97
90,98.96
91,98.97
92,98.98
93,98.98
94,98.96
95,98.98
96,98.97
97,98.95
98,98.92
99,98.97
100,98.97
