round,accuracy
1,90.26
2,90.41
3,90.42
4,90.25
5,90.21
6,90.37
7,90.17
8,90.24
9,90.15
10,90.09
11,90.05
12,89.89
13,89.81
14,89.84
15,89.91
16,89.76
17,89.81
18,89.7
19,89.5
20,89.68
21,89.54
22,89.61
23,89.65
24,89.48
25,89.31
26,89.38
27,89.16
28,89.42
29,89.34
30,89.22
31,89.25
32,89.07
33,89.02
34,88.94
35,89.12
36,89.14
37,88.98
38,89.03
39,88.93
40,88.99
41,89.03
42,88.86
43,88.89
44,88.85
45,88.87
46,88.84
47,88.83
48,88.88
49,88.88
50,88.84
51,88.76
52,88.95
53,88.65
54,88.75
55,88.71
56,88.78
57,88.76
58,88.74
59,88.68
60,88.56
61,88.62
62,88.68
63,88.61
64,88.59
65,88.57
66,88.64
67,88.49
68,88.62
69,88.53
70,88.51
71,88.6
72,88.52
73,88.53
74,88.51
75,88.47
76,88.49
77,88.54
78,88.5
79,88.41
80,88.52
81,88.41
82,88.3
83,88.5
84,88.44
85,88.51
86,88.36
87,88.32
88,88.33
89,88.46
90,88.37
91,88.35
92,88.45
93,88.41
94,88.36
95,88.24
96,88.42
97,88.33
98,88.3
99,88.35
100,88.36
